ITEM,CEST,NCM,Descrição,MVA Ajustado,MVA Original
8.71,10.071.00,7610,"Construções e suas partes (por exemplo, pontes e elementos de pontes, torres, pórticos ou pilones, pilares, colunas, armações, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras, balaustradas), de alumínio, exceto as construções pré-fabricadas da posição 9406; chapas, barras, perfis, tubos e semelhantes, de alumínio, próprios para construções","63,02% (Aliq. 4%) 
57,92% (Alíq. 7%) 
49,43% (Alíq. 12%)",35%
8.72,10.072.00,7615.20.00,"Artefatos de higiene / toucador de alumínio, para uso na construção","111,32% (Aliq. 4%) 
104,72% (Alíq. 7%) 
93,71% (Alíq. 12%)",75%
8.73,10.073.00,7616,"Outras obras de alumínio, próprias para construções, incluídas as persianas","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.74,10.074.00,8302.41.00,"Outras guarnições, ferragens e artigos semelhantes de metais comuns, para construções, inclusive puxadores.","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.75,10.075.00,8301,"Fechaduras e ferrolhos (de chave, de segredo ou elétricos), de metais comuns, incluídas as suas partes fechos e armações com fecho, com fechadura, de metais comuns chaves para estes artigos, de metais comuns excluídos os de uso automotivo","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.76,10.076.00,8302.10.00,"Dobradiças de metais comuns, de qualquer tipo","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.77,10.077.00,8307,"Tubos flexíveis de metais comuns, mesmo com acessórios, para uso na construção","99,25% (Aliq. 4%) 
93,02% (Alíq. 7%) 
82,64% (Alíq. 12%)",65%
8.78,10.078.00,8311,"Fios, varetas, tubos, chapas, eletrodos e artefatos semelhantes, de metais comuns ou de carbonetos metálicos, revestidos exterior ou interiormente de decapantes ou de fundentes, para soldagem (soldadura) ou depósito de metal ou de carbonetos metálicos fios e varetas de pós de metais comuns aglomerados, para metalização por projeção","99,25% (Aliq. 4%) 
93,02% (Alíq. 7%) 
82,64% (Alíq. 12%)",65%
8.79,10.079.00,8481,"Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.80,10.080.00,7009,"Espelhos de vidro, mesmo emoldurados, exceto os de uso automotivo","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
9.1.0,13.001.00,3003 e 3004,"Medicamentos de referência - positiva, exceto para uso veterinário","66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.1.1,13.001.01,3003 e 3004,"Medicamentos de referência - negativa, exceto para uso veterinário","60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.1.2,13.001.02,3003 e 3004,"Medicamentos de referência - neutra, exceto para uso veterinário","70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
9.2.0,13.002.00,3003 e 3004,"Medicamentos genérico - positiva, exceto para uso veterinário","66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.2.1,13.002.01,3003 e 3004,"Medicamentos genérico - negativa, exceto para uso veterinário","60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.2.2,13.002.02,3003 e 3004,"Medicamentos genérico - neutra, exceto para uso veterinário","70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
9.3.0,13.003.00,3003 e 3004,"Medicamentos similar - positiva, exceto para uso veterinário","66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.3.1,13.003.01,3003 e 3004,"Medicamentos similar - negativa, exceto para uso veterinário","60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.3.2,13.003.02,3003 e 3004,"Medicamentos similar - neutra, exceto para uso veterinário","70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
9.4.0,13.004.00,3003 e 3004,"Outros tipos de medicamentos - positiva, exceto para uso veterinário","66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.4.1,13.004.01,3003 e 3004,"Outros tipos de medicamentos - negativa, exceto para uso veterinário","60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.4.2,13.004.02,3003 e 3004,"Outros tipos de medicamentos - neutra, exceto para uso veterinário","70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
9.5.0,13.005.00,3006.6,"Preparações químicas contraceptivas de referência, à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - positiva.","66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.5.1,13.005.01,3006.6,"Preparações químicas contraceptivas de referência, à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - negativa.","60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.5.2,13.005.02,3006.6,"Preparações químicas contraceptivas genérico, à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas – positiva.","66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.5.3,13.005.03,3006.6,"Preparações químicas contraceptivas genérico, à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas – negativa.","60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.5.4,13.005.04,3006.6,"Preparações químicas contraceptivas similar, à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas – positiva.","66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.5.5,13.005.05,3006.6,"Preparações químicas contraceptivas similar, à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas – negativa.","60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.6,13.006.00,2936,"Provitaminas e vitaminas, naturais ou reproduzidas por síntese (incluídos os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções","70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
9.7.0,13.007.00,3006.3,Preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente – Lista Positiva,"66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.7.1,13.007.01,3006.3,Preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente – Lista Negativa,"60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.8.0,13.008.00,3002,"Antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - Lista Positiva","66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.8.1,13.008.01,3002,"Antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário – Lista Negativa","60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.9.0,13.009.00,3002,"Vacinas, exceto para uso veterinário - Lista Positiva","66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.9.1,13.009.01,3002,"Vacinas, exceto para uso veterinário – Lista Negativa","60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.10.0,13.010.00,3005.10.1,"Curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - Lista Positiva","66,93% (Alíq. 4%) 
61,71% (Alíq. 7%) 
53,02% (Alíq. 12%)","38,24%"
9.10.1,13.010.01,3005.10.1,"Curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - Lista Negativa","60,60% (Alíq. 4%) 
55,58% (Alíq. 7%) 
47,22% (Alíq. 12%)",33%
9.11,13.011.00,3005,"Algodão, atadura, esparadrapo, gazes, pensos, sinapismos, e outros, acondicionados para venda a retalho para usos medicinais, cirúrgicos ou dentários, não impregnados ou recobertos de substâncias farmacêuticas - Lista Neutra","70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
9.12,13.012.00,"4015.12 
4015.19",Luvas cirúrgicas e luvas de procedimento - neutra,"70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
9.13,13.013.00,4014.1,Preservativo – neutra,"70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
9.14,13.014.00,9018.31,"Seringas, mesmo com agulhas – neutra","70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
9.15,13.015.00,9018.32.1,Agulhas para seringas – neutra,"70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
9.16,13.016.00,"3926.90.9 
9018.90.99",Contraceptivos (dispositivos intrauterinos - DIU) – neutra,"70,72% (Alíq. 4%) 
65,39% (Alíq. 7%) 
56,50% (Alíq. 12%)","41,38%"
10.1,16.001.00,4011,"Pneus novos, dos tipos utilizados em automóveis de passageiros (incluídos os veículos de uso misto - camionetas e os automóveis de corrida","71,47% (Alíq. 4%) 
66,11% (Alíq. 7%) 
57,18% (Alíq. 12%)",42%
10.2,16.002.00,4011,"Pneus novos, dos tipos utilizados em caminhões (inclusive para os fora-de-estrada), ônibus, aviões, máquinas de terraplenagem, de construção e conservação de estradas, máquinas e tratores agrícolas, pá-carregadeira","59,40% (Alíq. 4%) 
54,42% (Alíq. 7%) 
46,11% (Alíq. 12%)",32%
10.3,16.003.00,4011,Pneus novos para motocicletas,"93,21% (Alíq. 4%) 
87,17% (Alíq. 7%) 
77,11% (Alíq. 12%)",60%
10.4,16.004.00,4011,"Outros tipos de pneus novos, exceto os itens classificados no CEST 16.005.00","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
10.5,16.005.00,4011.5,Pneus novos de borracha dos tipos utilizados em bicicletas,"98,85% (Alíq. 4%) 
92,63% (Alíq. 7%) 
82,28% (Alíq. 12%)","64,67%"
10.6.0,16.007.00,4012.9,"Protetores de borracha, exceto os itens classificados no CEST 16.007.01","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
10.6.1,16.007.01,4012.9,Protetores de borracha para bicicletas,"75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
10.7,16.008.00,4013,"Câmaras de ar de borracha, exceto os itens classificados no CEST 16.009.00","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
10.8,16.009.00,4013.2,Câmaras de ar de borracha dos tipos utilizados em bicicletas,"98,85% (Alíq. 4%) 
92,63% (Alíq. 7%) 
82,28% (Alíq. 12%)","64,67%"
11.1,"17.044.00 a 
17.044.27",1101.00.1,"Farinha de trigo, em qualquer embalagem","Nas aquisições de 
estados signatários do 
Prot. ICMS 46/00 
consultar o referido 
acordo. 
77,37% (importação) 
70,27% (Alíq. 4%) 
64,95% (Alíq. 7%) 
56,08% (Alíq. 12%)","77,37%"
“11.1,"17.044.00 
a 
17.044.27",1101.00.1,"Farinha de trigo, em qualquer embalagem","Nas aquisições de 
estados signatários do 
Prot. ICMS 46/00 
consultar o referido 
acordo. 
77,37% (importação) 
70,27% (Alíq. 4%) 
64,95% (Alíq. 7%) 
56,08% (Alíq. 12%)","77,37%”"
11.2,17.045.00,1101.00.2,Farinha de mistura de trigo com centeio (méteil),"Nas aquisições de 
estados signatários do 
Prot. ICMS 46/00 
consultar o referido 
acordo. 
77,37% (importação) 
70,27% (Alíq. 4%) 
64,95% (Alíq. 7%) 
56,08% (Alíq. 12%)","77,37%"
“11.2,17.045.00,1101.00.2,Farinha de mistura de trigo com centeio (méteil),"Nas aquisições de 
estados signatários do 
Prot. ICMS 46/00 
consultar o referido 
acordo. 
77,37% (importação) 
70,27% (Alíq. 4%) 
64,95% (Alíq. 7%) 
56,08% (Alíq. 12%)","77,37%”"
11.3,"17.046.05 a 
17.046.09","1901.2 
1901.90.9","Misturas e preparações para pães com menos de 80% de farinha de trigo na sua composição final, em qualquer embalagem","143,92% (Alíq. 4%) 
136,30% (Alíq. 7%) 
123,60% (Alíq. 12%)","102,0%"
11.4,"17.046.10 a 
17.046.14",1901,"Misturas e preparações para pães com, no mínimo, 80% de farinha de trigo na sua composição final, em qualquer embalagem","Nas aquisições de 
estados signatários do 
Prot. ICMS 46/00 
consultar o referido 
acordo.","77,37%"
”11.4,"17.046.10 
a 
17.046.14",1901,"Misturas e preparações para pães com, no mínimo, 80% de farinha de trigo na sua composição final, em qualquer embalagem","Nas aquisições de 
estados signatários do 
Prot. ICMS 46/00 
consultar o referido 
acordo. 
77,37% (importação) 
70,27% (Alíq. 4%) 
64,95% (Alíq. 7%) 
56,08% (Alíq. 12%)","77,37%”"
11.4.1,17.046.16,"1901.2 
1901.90.9","Misturas e preparações com, no mínimo, 80% de farinha de trigo na sua composição final, exceto as descritas nos CEST 17.046.10 a 17.046.15.","Nas aquisições de 
estados signatários do 
Prot. ICMS 46/00 
consultar o referido 
acordo. 
77,37% (importação) 
70,27% (Alíq. 4%) 
64,95% (Alíq. 7%) 
56,08% (Alíq. 12%)","77,37%"
“11.4.1,17.046.16,"1901.2 
1901.90.9","Misturas e preparações com, no mínimo, 80% de farinha de trigo na sua composição final, exceto as descritas nos CEST 17.046.10 a 17.046.15.","Nas aquisições de 
estados signatários do 
Prot. ICMS 46/00 
consultar o referido 
acordo. 
77,37% (importação) 
70,27% (Alíq. 4%) 
64,95% (Alíq. 7%) 
56,08% (Alíq. 12%)","77,37%”"
11.6.0,17.047.01,1902.3,"Massas alimentícias tipo instantânea, derivadas de farinha de trigo","44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%
11.6.1,17.048.00,1902,"Massas alimentícias, cozidas ou recheadas (de carne ou de outras substâncias) ou preparadas de outro modo, exceto as descritas nos CEST 17.047.00, 17.048.01 e 17.048.02","44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%”
11.6.2,17.048.02,1902.20.00,Massas alimentícias recheadas (mesmo cozidas ou preparadas de outro modo),"44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%
11.7.2,17.049.02,1902.11,"Massas alimentícias do tipo grano duro, não cozidas, nem recheadas, nem preparadas de outro modo, que contenham ovos","23,87% (Alíq. 4%) 
20% (Alíq. 7%) 
20% (Alíq. 12%)",20%
11.7.3,17.049.03,1902.19,"Outras massas alimentícias do tipo comum, não cozidas, nem recheadas, nem preparadas de outro modo, que não contenham ovos, derivadas de farinha de trigo","23,87% (Alíq. 4%) 
20% (Alíq. 7%) 
20% (Alíq. 12%)",20%
11.7.4,17.049.04,1902.19,"Outras massas alimentícias do tipo sêmola, não cozidas, nem recheadas, nem preparadas de outro modo, que não contenham ovos, derivadas do trigo","23,87% (Alíq. 4%) 
20% (Alíq. 7%) 
20% (Alíq. 12%)",20%
11.7.5,17.049.05,1902.19,"Outras massas alimentícias do tipo grano duro, não cozidas, nem recheadas, nem preparadas de outro modo, que não contenham ovos","23,87% (Alíq. 4%) 
20% (Alíq. 7%) 
20% (Alíq. 12%)",20%
11.7.6,17.049.06,1902.11.,"Massas alimentícias do tipo comum, não cozidas, nem recheadas, nem preparadas de outro modo, que contenham ovos, derivadas de farinha de trigo","23,87% (Alíq. 4%) 
20% (Alíq. 7%) 
20% (Alíq. 12%",20%
11.7.7,17.049.07,1902.11.,"Massas alimentícias do tipo sêmola, não cozidas, nem recheadas, nem preparadas de outro modo, que contenham ovos, derivadas do trigo","23,87% (Alíq. 4%) 
20% (Alíq. 7%) 
20% (Alíq. 12%)",20%
11.8,17.050.00,1905.2,"Pães industrializados, inclusive de especiarias, exceto panetones e bolo de forma","44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%
11.9,17.051.00,1905.20.9,"Bolo de forma, inclusive de especiarias","56,98% (Alíq. 4%) 
52,08% (Alíq. 7%) 
43,90% (Alíq. 12%)",30%
11.10,17.052.00,1905.20.1,Panetones,"44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%
11.16,17.059.00,1905.4,"Torradas, pão torrado e produtos semelhantes torrados","56,98% (Alíq. 4%) 
52,08% (Alíq. 7%) 
43,90% (Alíq. 12%)",30%
11.17,17.060.00,1905.90.1,Outros pães de forma,"44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%
11.18.0,17.062.00,1905.90.90,"Outros pães, exceto o classificado no CEST 17.062.03","44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%
11.18.1,17.062.01,1905.90.90,"Outros bolos industrializados e produtos de panificação não especificados anteriormente, incluindo as pizzas; exceto os classificados nos CEST 17.062.02 e 17.062.03","56,98% (Alíq. 4%) 
52,08% (Alíq. 7%) 
43,90% (Alíq. 12%)",30%
11.18.2,17.062.02,"1905.90.2 e 
1905.90.9",Casquinhas para sorvete,"56,98% (Alíq. 4%) 
52,08% (Alíq. 7%) 
43,90% (Alíq. 12%)",30%
11.18.3,17.062.03,1905.90.9,Pão francês até 200g,"44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%
11.19,17.063.00,1905.1,Pão denominado knackebrot,"44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%
11.20,17.064.00,1905.9,Demais pães industrializados,"44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%
11.21,17.083.00,"0210.2, 
0210.99 e 1502","Carne de gado bovino, ovino e bufalino e produtos comestíveis resultantes da matança desse gado submetidos à salga, secagem ou desidratação (exceto charque e jerked beef)","50,94% (Alíq. 4%) 
46,23% (Alíq. 7%) 
38,36% (Alíq. 12%)",25%
11.22,17.084.00,"0201, 0202, 
0204 e 0206","Carne de gado bovino, ovino e bufalino e demais produtos comestíveis resultantes da matança desse gado frescos, refrigerados ou congelados","50,94% (Alíq. 4%) 
46,23% (Alíq. 7%) 
38,36% (Alíq. 12%)",25%
11.23,17.085.00,0204,"Carnes de animais das espécies caprina, frescas, refrigeradas ou congeladas","50,94% (Alíq. 4%) 
46,23% (Alíq. 7%) 
38,36% (Alíq. 12%)",25%
11.24,17.086.00,"0210.99, 
1502.10.19 e 
1502.9","Carnes e demais produtos comestíveis frescos, resfriados, congelados, salgados ou salmourados resultantes do abate de caprinos","50,94% (Alíq. 4%) 
46,23% (Alíq. 7%) 
38,36% (Alíq. 12%)",25%
11.25.0,17.087.00,"0207, 0209, 
0210.99 e 1501","Carnes e demais produtos comestíveis frescos, resfriados, congelados, salgados, em salmoura, simplesmente temperados, secos ou defumados, resultantes do abate de aves, exceto os descritos no CEST 17.087.02","50,94% (Alíq. 4%) 
46,23% (Alíq. 7%) 
38,36% (Alíq. 12%)",25%
11.25.1,17.087.01,"0203, 0206, 
0209, 0210.1, 
0210.99 e 1501","Carnes e demais produtos comestíveis frescos, resfriados, congelados, salgados, em salmoura, simplesmente temperados, secos ou defumados, resultantes do abate de suínos","50,94% (Alíq. 4%) 
46,23% (Alíq. 7%) 
38,36% (Alíq. 12%)",25%
11.25.2,17.087.02,"0207.1 e 
0207.2","Carnes de aves inteiras com peso unitário superior a 3Kg, temperadas","50,94% (Alíq. 4%) 
46,23% (Alíq. 7%) 
38,36% (Alíq. 12%)",25%
12.1,19.001.00,3213.1,Tinta guache,"118,98% (Alíq. 4%) 
112,13% (Alíq. 7%) 
100,73% (Alíq. 12%)","81,34%"
12.2,19.002.00,3916.2,"Espiral - perfil para encadernação, de plástico e outros materiais das posições3901 a 3914","120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24%"
12.3,19.003.00,"3916.10.00 e 
3916.90","Outros espirais - perfil para encadernação, de plástico e outros materiais classificados nas posições 3901 a 3914","120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24%"
12.4,19.004.00,3926.1,"Artigos de escritório e artigos escolares de plástico e outros materiais das posições3901 a 914, exceto estojos","98,18% (Alíq. 4%) 
91,99% (Alíq. 7%) 
81,67% (Alíq. 12%)","64,12%"
12.5.0,19.005.00,"4202.1 e 
4202.9","Maletas e pastas para documentos e de estudante, e artefatos semelhantes","94,31% (Alíq. 4%) 
88,23% (Alíq. 7%) 
78,11% (Alíq. 12%)","60,91%"
12.5.1,19.005.01,"4202.1 e 
4202.9","Baús, malas e maletas para viagem","94,31% (Alíq. 4%) 
88,23% (Alíq. 7%) 
78,11% (Alíq. 12%)","60,91%"
12.6,19.006.00,3926.90.9,Prancheta de plástico,"120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24"
12.7,19.007.00,"4802.20.9 e 
4811.90.9",Bobina para fax,"79,67% (Alíq. 4%) 
74,06% (Alíq. 7%) 
64,70% (Alíq. 12%)","48,79%"
12.8,19.008.00,4802.54.9,Papel seda,"120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24%"
12.9,19.009.00,"4802.54.99, 
4802.57.99 e 
4816.2","Bobina para máquina de calcular, PDV ou equipamentos similares","135,47% (Alíq. 4%) 
128,11% (Alíq. 7%) 
115,85% (Alíq. 12%)",95%
12.10,19.010.00,"4802.56.9 
4802.57.9 
4802.58.9","Cartolina escolar e papel cartão, brancos e coloridos, cortados em folhas em que um lado seja inferior ou igual a 500 mm e o outro inferior ou igual a 700 mm, quando não dobradas, e peso igual ou superior a 120g/m²; recados autoadesivos (LP note); papéis de presente; todos cortados em tamanho pronto para uso escolar e doméstico","109,33% (Alíq. 4%) 
102,79% (Alíq. 7%) 
91,88% (Alíq. 12%)","73,35%"
12.11,19.011.00,"3703.10.1, 
3703.10.29, 
3703.2, 
3703.90.1, 
3704 e 802.2","Papel fotográfico, exceto: (i) os papéis fotográficos emulsionados com haleto de prata tipo brilhante, matte ou lustre, em rolo e, com largura igual ou superior a 102 mm e comprimento igual ou inferior a 350 m, (ii) os papéis fotográficos emulsionados com haleto de prata tipo brilhante","120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24%"
12.12,19.012.00,4810.13.9,Papel almaço,"120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24%"
12.13,19.013.00,4816.90.1,Papel hectográfico,"120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24%"
12.14,19.014.00,3920.20.19,Papel celofane e tipo celofane,"120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24%"
12.15,19.015.00,4806.2,Papel impermeável,"120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24%"
12.16,19.016.00,4808.1,Papel crepon,"120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24%"
12.17,19.017.00,4810.22.9,Papel fantasia,"72,70% (Alíq. 4%) 
67,31% (Alíq. 7%) 
58,31% (Alíq. 12%)","43,02%"
12.18,19.018.00,4809 e 4816,"Papel-carbono, papel autocopiativo (exceto os vendidos em rolos de diâmetro igual ou maior do que 60 cm e os vendidos em folhas de formato igual ou maior do que 60 cm de altura e igual ou maior que 90 cm de largura) e outros papéis para cópia ou duplicação (incluídos os papéis para estênceis ou para chapas ofsete), estênceis completos e chapas ofsete, de papel, em folhas, mesmo acondicionados em caixas","140,83% (Alíq. 4%) 
133,31% (Alíq. 7%) 
120,76% (Alíq. 12%)","99,44%"
12.19,19.019.00,4817,"Envelopes, aerogramas, bilhetes-postais não ilustrados e cartões para correspondência, de papel ou cartão, caixas, sacos e semelhantes, de papel ou cartão, contendo um sortido de artigos para correspondência","65,08% (Alíq. 4%) 
59,92% (Alíq. 7%) 
51,33% (Alíq. 12%)","36,71%"
12.20,19.020.00,4820.1,"Livros de registro e de contabilidade, blocos de notas, de encomendas, de recibos, de apontamentos, de papel para cartas, agendas e artigos semelhantes","125,68% (Alíq. 4%) 
118,63% (Alíq. 7%) 
106,87% (Alíq. 12%)","86,89%"
12.21,19.021.00,4820.2,Cadernos,"100,37% (Alíq. 4%) 
94,11% (Alíq. 7%) 
83,67% (Alíq. 12%)","65,93%"
12.22,19.022.00,4820.3,"Classificadores, capas para encadernação (exceto as capas para livros) e capas de processos","125,68% (Alíq. 4%) 
118,63% (Alíq. 7%) 
106,87% (Alíq. 12%)","86,89%"
12.23,19.023.00,4820.4,"Formulários em blocos tipo ""manifold"", mesmo com folhas intercaladas de papel-carbono","125,68% (Alíq. 4%) 
118,63% (Alíq. 7%) 
106,87% (Alíq. 12%)","86,89%"
12.24,19.024.00,4820.5,Álbuns para amostras ou para coleções,"125,68% (Alíq. 4%) 
118,63% (Alíq. 7%) 
106,87% (Alíq. 12%)","86,89%"
12.25,19.025.00,4820.9,"Pastas para documentos, outros artigos escolares, de escritório ou de papelaria, de papel ou cartão e capas para livros, de papel ou cartão","125,68% (Alíq. 4%) 
118,63% (Alíq. 7%) 
106,87% (Alíq. 12%)","86,89%"
12.26,19.026.00,4909,"Cartões postais impressos ou ilustrados, cartões impressos com votos ou mensagens pessoais, mesmo ilustrados, com ou sem envelopes, guarnições ou aplicações (conhecidos como cartões de expressão social - de época / sentimento)","155,09% (Alíq. 4%) 
147,12% (Alíq. 7%) 
133,84% (Alíq. 12%)","111,25%"
12.27,19.027.00,9608.1,Canetas esferográficas,"98,29% (Alíq. 4%) 
92,09% (Alíq. 7%) 
81,77% (Alíq. 12%)","64,21%"
12.28,19.028.00,9608.2,"Canetas e marcadores, com ponta de feltro ou com outras pontas porosas","98,29% (Alíq. 4%) 
92,09% (Alíq. 7%) 
81,77% (Alíq. 12%)","64,21%"
12.29,19.029.00,9608.3,Canetas tinteiro,"89,58% (Alíq. 4%) 
83,66% (Alíq. 7%) 
73,79% (Alíq. 12%)",57%
12.30,19.030.00,9608,Outras canetas; sortidos de canetas,"89,58% (Alíq. 4%) 
83,66% (Alíq. 7%) 
73,79% (Alíq. 12%)",57%
12.31,19.031.00,4802.56,"Papel cortado ""cutsize"" (tipo A3, A4, ofício I e II, carta e outros)","64,61% (Alíq. 4%) 
59,47% (Alíq. 7%) 
50,90% (Alíq. 12%)","36,32%"
12.32,19.032.00,5210.59.90,Papel camurça,"120,06% (Alíq. 4%) 
113,19% (Alíq. 7%) 
101,72% (Alíq. 12%)","82,24%"
